1kp,Species,seqid
WIGA,Persea borbonia,2127871138
ABSS,Sassafras albidum,1783489730
KRJP,Peumus boldus,2127880972
YZRI,Annona muricata,1942106975
PSJT,Uvaria microcarpa,1610618824
DHPO,Eupomatia bennettii,2127892786
WBOD,Magnolia grandiflora,452848834
XQWC,Michelia maudiae,1834976095
OBPL,Myristica fragrans,1642524449
PAWA,Aristolochia elegans,1980529281
QDVW,Saruma henryi,1526690264
XSZI,Peperomia fraseri,1834963441
MUNP,Piper auritum,1198020474
CSSK,Houttuynia cordata,1834977792
OPDF,Saururus cernuus,1919568336
MTII,Acorus americanus,161622288
DWZT,Sagittaria latifolia,1714604983
MFIN,Pistia stratiotes,1847693898
COCP,Triglochin maritima,2127874653
BYQM,Posidonia australis,2127874653
PRFO,Agapanthus africanus,1252314238
KXSK,Agave tequilana,2120477807
PLBZ,Chlorogalum pomeridianum,1128268131
CMCY,Hesperaloe parviflora,1128268611
YBML,Yucca brevifolia,1128271348
ICNN,Yucca filamentosa,1128271826
KBXS,Allium commutatum,1812102149
GJPF,Allium sativum,1102546796
LDME,Amaryllis belladonna,2091530591
TRRQ,Narcissus viridiflorus,1511249864
JDTY,Rhodophiala pratensis,2091529137
ZKPF,Traubia modesta,2091529137
DPFW,Zephyranthes treatiae,2091529137
FGRF,Asparagus densiflorus,1834979938
UZXL,Disporopsis pernyi,2088238297
XFJG,Maianthemum canadense,2088256758
JVBR,Aloe vera,1236514429
EMJJ,Borya sphaerocephala,1812102149
BLAJ,Hemerocallis,2120472465
FCEL,Phormium tenax,2120472465
SVTS,Drimia altissima,1824664690
KOFB,Urginea maritima,1824664690
LTZF,Sisyrinchium angustifolium,2055406211
MUMD,Lomandra longifolia,1252315520
XZME,Drakaea elastica,1819289524
VTUS,Goodyera pubescens,1829770833
LELS,Haemaria discolor,1043374421
JSAG,Masdevallia yuangensis,806636762
CNTZ,Oncidium sphacelatum,944543168
MTHW,Platanthera clavellata,2128442715
THDM,Vanilla planifolia,814072019
ONBE,Eriospermum lancifolia,2129649847
HOKG,Nolina atopocarpa,1128270638
RQZP,Nolina bigelovii,1128270638
TCYS,Peliosanthes minor,2129649847
MVRF,Sansevieria trifasciata,2127886546
RDYY,Cyanastrum cordifolium,1812102149
KYNE,Cyanella orchidiformis,1812102149
IXEM,Brodiaea sierrae,1252315690
WTDE,Johnsonia pubescens,2120472465
SART,Xeronema callistemon,1812102149
OCWZ,Dioscorea villosa,1198027914
QNPH,Colchicum autumnale,1025806971
NHIX,Colchicum autumnale,1025806971
GDKK,Gloriosa superba,1025807114
OOSO,Helonias bullata,827045597
AFLV,Xerophyllum asphodeloides,827045509
MWYQ,Smilax bona-nox,2127856924
DGXS,Freycinetia multiflora,2088260120
VBHQ,Stemona tuberosa,2055417298
SILJ,Talbotia elegans,2088260034
QOXT,Xerophyta villosa,1707500609
QGLJ,Cocos nucifera,546138038
NSPR,Nypa fruticans,1021078229
HWUP,Sabal bermudana,814071364
HXJE,Serenoa repens,1021077793
YMES,Typhonium blumei,1942098448
BYPY,Brocchinia reducta,1783497771
PWSG,Cyperus papyrus,2127869499
WBIB,Lepidosperma gibsonii,2127892862
XPAF,Mapania palustris,1267170126
WXNT,Joinvillea ascendens,1079488620
CIEA,Juncus inflexus,1206253385
HATH,Aristida stricta,1829765744
RMVB,Avena fatua,1714606854
ROEI,Cymbopogon nardus,1642517445
IADP,Deschampsia cespitosa,1583108063
EFCZ,Eleusine coracana,2088239130
YPIC,Microstegium vimineum,1693290923
ZENX,Neurachne alopecuroidea,1488177994
BPKH,Neurachne annularis,1488177994
VQYB,Neurachne lanigera,1488177994
BXAY,Neurachne minor,1488177994
ZMGN,Neurachne munroi,1488177994
NNOK,Neurachne tenuifolia,1488177994
SOHV,Panicum miliaceum,1011057476
XUAB,Paraneurachne muelleri,1488177994
Sorbi,Sorghum bicolor,1693292999
XBKS,Thyridolepis mitchelliana,1043445335
WCOR,Thyridolepis multiculmis,1043445335
GZSF,Uniola paniculata,1331214055
YLWW,Uniola paniculata,1331214055
BSTR,Chondropetalum tectorum,1206253385
PPQR,Typha angustifolia,1915406536
BRUD,Typha latifolia,289065068
LSKK,Orchidantha maxillarioides,2127891189
JNUB,Maranta leuconeura,2127891189
UOEL,Strelitzia reginae,563940634
LEMW,Curcuma longa,1693299435
BDJQ,Zingiber officinale,1747451850
Orysa,Oryza sativa,1073625614
